catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
224	FAM200B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
225	FBXL19	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
226	FERD3L	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
227	FEV	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
228	FEZF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
229	FEZF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
230	FIGLA	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
231	FIZ1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
232	FLI1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
233	FLYWCH1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
237	FOSL2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
238	FOXA1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
239	FOXA2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
240	FOXA3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
241	FOXB1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
242	FOXB2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
243	FOXC1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
244	FOXC2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
245	FOXD1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
246	FOXD2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
247	FOXD3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
248	FOXD4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
249	FOXD4L1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
250	FOXD4L3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
251	FOXD4L4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
252	FOXD4L5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
253	FOXD4L6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
254	FOXE1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
255	FOXE3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
256	FOXF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
257	FOXF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
258	FOXG1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
259	FOXH1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
260	FOXI1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
261	FOXI2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
262	FOXI3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
264	FOXJ2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
265	FOXJ3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
266	FOXK1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
267	FOXK2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
268	FOXL1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
269	FOXL2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
270	FOXM1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
271	FOXN1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
273	FOXN3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
274	FOXN4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
275	FOXO1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
277	FOXO4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
278	FOXO6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
279	FOXP1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
280	FOXP2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
282	FOXP4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
283	FOXQ1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
