tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
ZNF573	ZNF573	1399	Lambert_human_TFs	v1.01
ZNF574	ZNF574	1400	Lambert_human_TFs	v1.01
ZNF575	ZNF575	1401	Lambert_human_TFs	v1.01
ZNF576	ZNF576	1402	Lambert_human_TFs	v1.01
ZNF577	ZNF577	1403	Lambert_human_TFs	v1.01
ZNF578	ZNF578	1404	Lambert_human_TFs	v1.01
ZNF579	ZNF579	1405	Lambert_human_TFs	v1.01
ZNF580	ZNF580	1406	Lambert_human_TFs	v1.01
ZNF581	ZNF581	1407	Lambert_human_TFs	v1.01
ZNF582	ZNF582	1408	Lambert_human_TFs	v1.01
ZNF583	ZNF583	1409	Lambert_human_TFs	v1.01
ZNF584	ZNF584	1410	Lambert_human_TFs	v1.01
ZNF585A	ZNF585A	1411	Lambert_human_TFs	v1.01
ZNF585B	ZNF585B	1412	Lambert_human_TFs	v1.01
ZNF586	ZNF586	1413	Lambert_human_TFs	v1.01
ZNF587	ZNF587	1414	Lambert_human_TFs	v1.01
ZNF587B	ZNF587B	1415	Lambert_human_TFs	v1.01
ZNF589	ZNF589	1416	Lambert_human_TFs	v1.01
ZNF592	ZNF592	1417	Lambert_human_TFs	v1.01
ZNF594	ZNF594	1418	Lambert_human_TFs	v1.01
ZNF595	ZNF595	1419	Lambert_human_TFs	v1.01
ZNF596	ZNF596	1420	Lambert_human_TFs	v1.01
ZNF597	ZNF597	1421	Lambert_human_TFs	v1.01
ZNF598	ZNF598	1422	Lambert_human_TFs	v1.01
ZNF599	ZNF599	1423	Lambert_human_TFs	v1.01
ZNF600	ZNF600	1424	Lambert_human_TFs	v1.01
ZNF605	ZNF605	1425	Lambert_human_TFs	v1.01
ZNF606	ZNF606	1426	Lambert_human_TFs	v1.01
ZNF607	ZNF607	1427	Lambert_human_TFs	v1.01
ZNF608	ZNF608	1428	Lambert_human_TFs	v1.01
ZNF609	ZNF609	1429	Lambert_human_TFs	v1.01
ZNF610	ZNF610	1430	Lambert_human_TFs	v1.01
ZNF611	ZNF611	1431	Lambert_human_TFs	v1.01
ZNF613	ZNF613	1432	Lambert_human_TFs	v1.01
ZNF614	ZNF614	1433	Lambert_human_TFs	v1.01
ZNF615	ZNF615	1434	Lambert_human_TFs	v1.01
ZNF616	ZNF616	1435	Lambert_human_TFs	v1.01
ZNF618	ZNF618	1436	Lambert_human_TFs	v1.01
ZNF619	ZNF619	1437	Lambert_human_TFs	v1.01
ZNF620	ZNF620	1438	Lambert_human_TFs	v1.01
ZNF621	ZNF621	1439	Lambert_human_TFs	v1.01
ZNF623	ZNF623	1440	Lambert_human_TFs	v1.01
ZNF624	ZNF624	1441	Lambert_human_TFs	v1.01
ZNF625	ZNF625	1442	Lambert_human_TFs	v1.01
ZNF626	ZNF626	1443	Lambert_human_TFs	v1.01
ZNF627	ZNF627	1444	Lambert_human_TFs	v1.01
ZNF628	ZNF628	1445	Lambert_human_TFs	v1.01
ZNF629	ZNF629	1446	Lambert_human_TFs	v1.01
ZNF630	ZNF630	1447	Lambert_human_TFs	v1.01
ZNF639	ZNF639	1448	Lambert_human_TFs	v1.01
ZNF641	ZNF641	1449	Lambert_human_TFs	v1.01
ZNF644	ZNF644	1450	Lambert_human_TFs	v1.01
ZNF645	ZNF645	1451	Lambert_human_TFs	v1.01
ZNF646	ZNF646	1452	Lambert_human_TFs	v1.01
ZNF648	ZNF648	1453	Lambert_human_TFs	v1.01
ZNF649	ZNF649	1454	Lambert_human_TFs	v1.01
ZNF652	ZNF652	1455	Lambert_human_TFs	v1.01
ZNF653	ZNF653	1456	Lambert_human_TFs	v1.01
ZNF654	ZNF654	1457	Lambert_human_TFs	v1.01
ZNF655	ZNF655	1458	Lambert_human_TFs	v1.01
ZNF658	ZNF658	1459	Lambert_human_TFs	v1.01
ZNF66	ZNF66	1460	Lambert_human_TFs	v1.01
ZNF660	ZNF660	1461	Lambert_human_TFs	v1.01
ZNF662	ZNF662	1462	Lambert_human_TFs	v1.01
ZNF664	ZNF664	1463	Lambert_human_TFs	v1.01
ZNF665	ZNF665	1464	Lambert_human_TFs	v1.01
ZNF667	ZNF667	1465	Lambert_human_TFs	v1.01
ZNF668	ZNF668	1466	Lambert_human_TFs	v1.01
ZNF669	ZNF669	1467	Lambert_human_TFs	v1.01
ZNF670	ZNF670	1468	Lambert_human_TFs	v1.01
ZNF671	ZNF671	1469	Lambert_human_TFs	v1.01
ZNF672	ZNF672	1470	Lambert_human_TFs	v1.01
ZNF674	ZNF674	1471	Lambert_human_TFs	v1.01
ZNF675	ZNF675	1472	Lambert_human_TFs	v1.01
ZNF676	ZNF676	1473	Lambert_human_TFs	v1.01
ZNF677	ZNF677	1474	Lambert_human_TFs	v1.01
ZNF678	ZNF678	1475	Lambert_human_TFs	v1.01
ZNF679	ZNF679	1476	Lambert_human_TFs	v1.01
ZNF680	ZNF680	1477	Lambert_human_TFs	v1.01
ZNF681	ZNF681	1478	Lambert_human_TFs	v1.01
ZNF682	ZNF682	1479	Lambert_human_TFs	v1.01
ZNF683	ZNF683	1480	Lambert_human_TFs	v1.01
ZNF684	ZNF684	1481	Lambert_human_TFs	v1.01
ZNF687	ZNF687	1482	Lambert_human_TFs	v1.01
ZNF688	ZNF688	1483	Lambert_human_TFs	v1.01
ZNF689	ZNF689	1484	Lambert_human_TFs	v1.01
ZNF69	ZNF69	1485	Lambert_human_TFs	v1.01
ZNF691	ZNF691	1486	Lambert_human_TFs	v1.01
ZNF692	ZNF692	1487	Lambert_human_TFs	v1.01
ZNF695	ZNF695	1488	Lambert_human_TFs	v1.01
ZNF696	ZNF696	1489	Lambert_human_TFs	v1.01
ZNF697	ZNF697	1490	Lambert_human_TFs	v1.01
ZNF699	ZNF699	1491	Lambert_human_TFs	v1.01
ZNF7	ZNF7	1492	Lambert_human_TFs	v1.01
ZNF70	ZNF70	1493	Lambert_human_TFs	v1.01
ZNF700	ZNF700	1494	Lambert_human_TFs	v1.01
ZNF701	ZNF701	1495	Lambert_human_TFs	v1.01
ZNF703	ZNF703	1496	Lambert_human_TFs	v1.01
ZNF704	ZNF704	1497	Lambert_human_TFs	v1.01
ZNF705A	ZNF705A	1498	Lambert_human_TFs	v1.01
ZNF705B	ZNF705B	1499	Lambert_human_TFs	v1.01
ZNF705D	ZNF705D	1500	Lambert_human_TFs	v1.01
ZNF705E	ZNF705E	1501	Lambert_human_TFs	v1.01
ZNF705G	ZNF705G	1502	Lambert_human_TFs	v1.01
ZNF706	ZNF706	1503	Lambert_human_TFs	v1.01
ZNF707	ZNF707	1504	Lambert_human_TFs	v1.01
ZNF708	ZNF708	1505	Lambert_human_TFs	v1.01
ZNF709	ZNF709	1506	Lambert_human_TFs	v1.01
ZNF71	ZNF71	1507	Lambert_human_TFs	v1.01
ZNF710	ZNF710	1508	Lambert_human_TFs	v1.01
ZNF711	ZNF711	1509	Lambert_human_TFs	v1.01
ZNF713	ZNF713	1510	Lambert_human_TFs	v1.01
ZNF714	ZNF714	1511	Lambert_human_TFs	v1.01
ZNF716	ZNF716	1512	Lambert_human_TFs	v1.01
ZNF717	ZNF717	1513	Lambert_human_TFs	v1.01
ZNF718	ZNF718	1514	Lambert_human_TFs	v1.01
ZNF721	ZNF721	1515	Lambert_human_TFs	v1.01
ZNF724	ZNF724	1516	Lambert_human_TFs	v1.01
ZNF726	ZNF726	1517	Lambert_human_TFs	v1.01
ZNF727	ZNF727	1518	Lambert_human_TFs	v1.01
ZNF728	ZNF728	1519	Lambert_human_TFs	v1.01
ZNF729	ZNF729	1520	Lambert_human_TFs	v1.01
ZNF730	ZNF730	1521	Lambert_human_TFs	v1.01
ZNF732	ZNF732	1522	Lambert_human_TFs	v1.01
ZNF735	ZNF735	1523	Lambert_human_TFs	v1.01
ZNF736	ZNF736	1524	Lambert_human_TFs	v1.01
ZNF737	ZNF737	1525	Lambert_human_TFs	v1.01
ZNF74	ZNF74	1526	Lambert_human_TFs	v1.01
ZNF740	ZNF740	1527	Lambert_human_TFs	v1.01
ZNF746	ZNF746	1528	Lambert_human_TFs	v1.01
ZNF747	ZNF747	1529	Lambert_human_TFs	v1.01
ZNF749	ZNF749	1530	Lambert_human_TFs	v1.01
ZNF750	ZNF750	1531	Lambert_human_TFs	v1.01
ZNF75A	ZNF75A	1532	Lambert_human_TFs	v1.01
ZNF75D	ZNF75D	1533	Lambert_human_TFs	v1.01
ZNF76	ZNF76	1534	Lambert_human_TFs	v1.01
ZNF761	ZNF761	1535	Lambert_human_TFs	v1.01
ZNF763	ZNF763	1536	Lambert_human_TFs	v1.01
ZNF764	ZNF764	1537	Lambert_human_TFs	v1.01
ZNF765	ZNF765	1538	Lambert_human_TFs	v1.01
ZNF766	ZNF766	1539	Lambert_human_TFs	v1.01
ZNF768	ZNF768	1540	Lambert_human_TFs	v1.01
ZNF77	ZNF77	1541	Lambert_human_TFs	v1.01
ZNF770	ZNF770	1542	Lambert_human_TFs	v1.01
ZNF771	ZNF771	1543	Lambert_human_TFs	v1.01
ZNF772	ZNF772	1544	Lambert_human_TFs	v1.01
ZNF773	ZNF773	1545	Lambert_human_TFs	v1.01
ZNF774	ZNF774	1546	Lambert_human_TFs	v1.01
ZNF775	ZNF775	1547	Lambert_human_TFs	v1.01
ZNF776	ZNF776	1548	Lambert_human_TFs	v1.01
ZNF777	ZNF777	1549	Lambert_human_TFs	v1.01
ZNF778	ZNF778	1550	Lambert_human_TFs	v1.01
ZNF780A	ZNF780A	1551	Lambert_human_TFs	v1.01
ZNF780B	ZNF780B	1552	Lambert_human_TFs	v1.01
ZNF781	ZNF781	1553	Lambert_human_TFs	v1.01
ZNF782	ZNF782	1554	Lambert_human_TFs	v1.01
ZNF783	ZNF783	1555	Lambert_human_TFs	v1.01
ZNF784	ZNF784	1556	Lambert_human_TFs	v1.01
ZNF785	ZNF785	1557	Lambert_human_TFs	v1.01
ZNF786	ZNF786	1558	Lambert_human_TFs	v1.01
ZNF787	ZNF787	1559	Lambert_human_TFs	v1.01
ZNF788	ZNF788	1560	Lambert_human_TFs	v1.01
ZNF789	ZNF789	1561	Lambert_human_TFs	v1.01
ZNF79	ZNF79	1562	Lambert_human_TFs	v1.01
ZNF790	ZNF790	1563	Lambert_human_TFs	v1.01
ZNF791	ZNF791	1564	Lambert_human_TFs	v1.01
ZNF792	ZNF792	1565	Lambert_human_TFs	v1.01
ZNF793	ZNF793	1566	Lambert_human_TFs	v1.01
ZNF799	ZNF799	1567	Lambert_human_TFs	v1.01
ZNF8	ZNF8	1568	Lambert_human_TFs	v1.01
ZNF80	ZNF80	1569	Lambert_human_TFs	v1.01
ZNF800	ZNF800	1570	Lambert_human_TFs	v1.01
ZNF804A	ZNF804A	1571	Lambert_human_TFs	v1.01
ZNF804B	ZNF804B	1572	Lambert_human_TFs	v1.01
ZNF805	ZNF805	1573	Lambert_human_TFs	v1.01
ZNF808	ZNF808	1574	Lambert_human_TFs	v1.01
ZNF81	ZNF81	1575	Lambert_human_TFs	v1.01
ZNF813	ZNF813	1576	Lambert_human_TFs	v1.01
ZNF814	ZNF814	1577	Lambert_human_TFs	v1.01
ZNF816	ZNF816	1578	Lambert_human_TFs	v1.01
ZNF821	ZNF821	1579	Lambert_human_TFs	v1.01
ZNF823	ZNF823	1580	Lambert_human_TFs	v1.01
ZNF827	ZNF827	1581	Lambert_human_TFs	v1.01
ZNF829	ZNF829	1582	Lambert_human_TFs	v1.01
ZNF83	ZNF83	1583	Lambert_human_TFs	v1.01
ZNF830	ZNF830	1584	Lambert_human_TFs	v1.01
ZNF831	ZNF831	1585	Lambert_human_TFs	v1.01
ZNF835	ZNF835	1586	Lambert_human_TFs	v1.01
ZNF836	ZNF836	1587	Lambert_human_TFs	v1.01
ZNF837	ZNF837	1588	Lambert_human_TFs	v1.01
ZNF84	ZNF84	1589	Lambert_human_TFs	v1.01
ZNF841	ZNF841	1590	Lambert_human_TFs	v1.01
ZNF843	ZNF843	1591	Lambert_human_TFs	v1.01
ZNF844	ZNF844	1592	Lambert_human_TFs	v1.01
ZNF845	ZNF845	1593	Lambert_human_TFs	v1.01
ZNF846	ZNF846	1594	Lambert_human_TFs	v1.01
ZNF85	ZNF85	1595	Lambert_human_TFs	v1.01
ZNF850	ZNF850	1596	Lambert_human_TFs	v1.01
ZNF852	ZNF852	1597	Lambert_human_TFs	v1.01
ZNF853	ZNF853	1598	Lambert_human_TFs	v1.01
ZNF860	ZNF860	1599	Lambert_human_TFs	v1.01
ZNF865	ZNF865	1600	Lambert_human_TFs	v1.01
ZNF878	ZNF878	1601	Lambert_human_TFs	v1.01
ZNF879	ZNF879	1602	Lambert_human_TFs	v1.01
ZNF880	ZNF880	1603	Lambert_human_TFs	v1.01
ZNF883	ZNF883	1604	Lambert_human_TFs	v1.01
ZNF888	ZNF888	1605	Lambert_human_TFs	v1.01
ZNF891	ZNF891	1606	Lambert_human_TFs	v1.01
ZNF90	ZNF90	1607	Lambert_human_TFs	v1.01
ZNF91	ZNF91	1608	Lambert_human_TFs	v1.01
ZNF92	ZNF92	1609	Lambert_human_TFs	v1.01
ZNF93	ZNF93	1610	Lambert_human_TFs	v1.01
ZNF98	ZNF98	1611	Lambert_human_TFs	v1.01
ZNF99	ZNF99	1612	Lambert_human_TFs	v1.01
ZSCAN1	ZSCAN1	1613	Lambert_human_TFs	v1.01
ZSCAN10	ZSCAN10	1614	Lambert_human_TFs	v1.01
ZSCAN12	ZSCAN12	1615	Lambert_human_TFs	v1.01
ZSCAN16	ZSCAN16	1616	Lambert_human_TFs	v1.01
ZSCAN18	ZSCAN18	1617	Lambert_human_TFs	v1.01
ZSCAN2	ZSCAN2	1618	Lambert_human_TFs	v1.01
ZSCAN20	ZSCAN20	1619	Lambert_human_TFs	v1.01
ZSCAN21	ZSCAN21	1620	Lambert_human_TFs	v1.01
ZSCAN22	ZSCAN22	1621	Lambert_human_TFs	v1.01
ZSCAN23	ZSCAN23	1622	Lambert_human_TFs	v1.01
ZSCAN25	ZSCAN25	1623	Lambert_human_TFs	v1.01
ZSCAN26	ZSCAN26	1624	Lambert_human_TFs	v1.01
ZSCAN29	ZSCAN29	1625	Lambert_human_TFs	v1.01
ZSCAN30	ZSCAN30	1626	Lambert_human_TFs	v1.01
ZSCAN31	ZSCAN31	1627	Lambert_human_TFs	v1.01
ZSCAN32	ZSCAN32	1628	Lambert_human_TFs	v1.01
ZSCAN4	ZSCAN4	1629	Lambert_human_TFs	v1.01
ZSCAN5A	ZSCAN5A	1630	Lambert_human_TFs	v1.01
ZSCAN5B	ZSCAN5B	1631	Lambert_human_TFs	v1.01
ZSCAN5C	ZSCAN5C	1632	Lambert_human_TFs	v1.01
ZSCAN9	ZSCAN9	1633	Lambert_human_TFs	v1.01
ZUFSP	ZUFSP	1634	Lambert_human_TFs	v1.01
ZXDA	ZXDA	1635	Lambert_human_TFs	v1.01
ZXDB	ZXDB	1636	Lambert_human_TFs	v1.01
ZXDC	ZXDC	1637	Lambert_human_TFs	v1.01
ZZZ3	ZZZ3	1638	Lambert_human_TFs	v1.01
