tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
ESRRA	ESRRA	207	Lambert_human_TFs	v1.01
ESRRB	ESRRB	208	Lambert_human_TFs	v1.01
ESRRG	ESRRG	209	Lambert_human_TFs	v1.01
ESX1	ESX1	210	Lambert_human_TFs	v1.01
ETS1	ETS1	211	Lambert_human_TFs	v1.01
ETS2	ETS2	212	Lambert_human_TFs	v1.01
ETV1	ETV1	213	Lambert_human_TFs	v1.01
ETV2	ETV2	214	Lambert_human_TFs	v1.01
ETV3	ETV3	215	Lambert_human_TFs	v1.01
ETV3L	ETV3L	216	Lambert_human_TFs	v1.01
ETV4	ETV4	217	Lambert_human_TFs	v1.01
ETV5	ETV5	218	Lambert_human_TFs	v1.01
ETV6	ETV6	219	Lambert_human_TFs	v1.01
ETV7	ETV7	220	Lambert_human_TFs	v1.01
EVX1	EVX1	221	Lambert_human_TFs	v1.01
EVX2	EVX2	222	Lambert_human_TFs	v1.01
FAM170A	FAM170A	223	Lambert_human_TFs	v1.01
FAM200B	FAM200B	224	Lambert_human_TFs	v1.01
FBXL19	FBXL19	225	Lambert_human_TFs	v1.01
FERD3L	FERD3L	226	Lambert_human_TFs	v1.01
FEV	FEV	227	Lambert_human_TFs	v1.01
FEZF1	FEZF1	228	Lambert_human_TFs	v1.01
FEZF2	FEZF2	229	Lambert_human_TFs	v1.01
FIGLA	FIGLA	230	Lambert_human_TFs	v1.01
FIZ1	FIZ1	231	Lambert_human_TFs	v1.01
FLI1	FLI1	232	Lambert_human_TFs	v1.01
FLYWCH1	FLYWCH1	233	Lambert_human_TFs	v1.01
FOS	FOS	234	Lambert_human_TFs	v1.01
FOSB	FOSB	235	Lambert_human_TFs	v1.01
FOSL1	FOSL1	236	Lambert_human_TFs	v1.01
FOSL2	FOSL2	237	Lambert_human_TFs	v1.01
FOXA1	FOXA1	238	Lambert_human_TFs	v1.01
FOXA2	FOXA2	239	Lambert_human_TFs	v1.01
FOXA3	FOXA3	240	Lambert_human_TFs	v1.01
FOXB1	FOXB1	241	Lambert_human_TFs	v1.01
FOXB2	FOXB2	242	Lambert_human_TFs	v1.01
FOXC1	FOXC1	243	Lambert_human_TFs	v1.01
FOXC2	FOXC2	244	Lambert_human_TFs	v1.01
FOXD1	FOXD1	245	Lambert_human_TFs	v1.01
FOXD2	FOXD2	246	Lambert_human_TFs	v1.01
FOXD3	FOXD3	247	Lambert_human_TFs	v1.01
FOXD4	FOXD4	248	Lambert_human_TFs	v1.01
FOXD4L1	FOXD4L1	249	Lambert_human_TFs	v1.01
FOXD4L3	FOXD4L3	250	Lambert_human_TFs	v1.01
FOXD4L4	FOXD4L4	251	Lambert_human_TFs	v1.01
FOXD4L5	FOXD4L5	252	Lambert_human_TFs	v1.01
FOXD4L6	FOXD4L6	253	Lambert_human_TFs	v1.01
FOXE1	FOXE1	254	Lambert_human_TFs	v1.01
FOXE3	FOXE3	255	Lambert_human_TFs	v1.01
FOXF1	FOXF1	256	Lambert_human_TFs	v1.01
FOXF2	FOXF2	257	Lambert_human_TFs	v1.01
FOXG1	FOXG1	258	Lambert_human_TFs	v1.01
FOXH1	FOXH1	259	Lambert_human_TFs	v1.01
FOXI1	FOXI1	260	Lambert_human_TFs	v1.01
FOXI2	FOXI2	261	Lambert_human_TFs	v1.01
FOXI3	FOXI3	262	Lambert_human_TFs	v1.01
