tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version	rna_var_name	rna_gene_symbol	present_in_rna	included_as_tf_node	exclusion_reason
ETV4	ETV4	217	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETV5	ETV5	218	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETV6	ETV6	219	Lambert_human_TFs	v1.01	ETV6	ETV6	True	True	
ETV7	ETV7	220	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EVX1	EVX1	221	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EVX2	EVX2	222	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FAM170A	FAM170A	223	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FAM200B	FAM200B	224	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FBXL19	FBXL19	225	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FERD3L	FERD3L	226	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FEV	FEV	227	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FEZF1	FEZF1	228	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FEZF2	FEZF2	229	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FIGLA	FIGLA	230	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FIZ1	FIZ1	231	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FLI1	FLI1	232	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FLYWCH1	FLYWCH1	233	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOS	FOS	234	Lambert_human_TFs	v1.01	FOS	FOS	True	True	
FOSB	FOSB	235	Lambert_human_TFs	v1.01	FOSB	FOSB	True	True	
FOSL1	FOSL1	236	Lambert_human_TFs	v1.01	FOSL1	FOSL1	True	True	
FOSL2	FOSL2	237	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXA1	FOXA1	238	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXA2	FOXA2	239	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXA3	FOXA3	240	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXB1	FOXB1	241	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXB2	FOXB2	242	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXC1	FOXC1	243	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXC2	FOXC2	244	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD1	FOXD1	245	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD2	FOXD2	246	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD3	FOXD3	247	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD4	FOXD4	248	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD4L1	FOXD4L1	249	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD4L3	FOXD4L3	250	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD4L4	FOXD4L4	251	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD4L5	FOXD4L5	252	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXD4L6	FOXD4L6	253	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXE1	FOXE1	254	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXE3	FOXE3	255	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXF1	FOXF1	256	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXF2	FOXF2	257	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXG1	FOXG1	258	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXH1	FOXH1	259	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXI1	FOXI1	260	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXI2	FOXI2	261	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXI3	FOXI3	262	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXJ1	FOXJ1	263	Lambert_human_TFs	v1.01	FOXJ1	FOXJ1	True	True	
FOXJ2	FOXJ2	264	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXJ3	FOXJ3	265	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXK1	FOXK1	266	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXK2	FOXK2	267	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXL1	FOXL1	268	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXL2	FOXL2	269	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXM1	FOXM1	270	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXN1	FOXN1	271	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXN2	FOXN2	272	Lambert_human_TFs	v1.01	FOXN2	FOXN2	True	True	
FOXN3	FOXN3	273	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
FOXN4	FOXN4	274	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
