cell_type_broad,n_cells,quantile,atac_fragments,matrix_total_counts,matrix_n_accessible_peaks,atac_frip,atac_tss_fragment_fraction,atac_mitochondrial_fraction,atac_duplicate_fraction,atac_lowmapq_fraction
Naοve_CD8_T_cells,1434,0.75,19279.0,25624.0,9518.5,0.7375592235013171,0.6016395940706228,0.006344351416787558,0.40008040613997176,0.08130503287574506
Naοve_CD8_T_cells,1434,0.9,20997.5,27675.100000000002,10156.5,0.7579977708415858,0.6223761898424606,0.035575929165300425,0.40717998570324065,0.0911941954944602
Naοve_CD8_T_cells,1434,0.95,22571.349999999995,29653.949999999993,10756.55,0.7688116883552712,0.633280536737551,0.06411649667606252,0.4122542428024972,0.09801299902030768
Naοve_CD8_T_cells,1434,0.98,33007.579999999994,43789.75999999999,13973.239999999998,0.7800315793871928,0.6498021770319871,0.08882023761219583,0.4191876531585116,0.1072778094131869
Naοve_CD8_T_cells,1434,0.99,36232.96000000002,48181.78000000006,14866.300000000007,0.7873630330897943,0.6557176647911074,0.10078148946078658,0.42403991001582225,0.11666492983290072
Naοve_CD8_T_cells,1434,1.0,95918.0,71104.0,18441.0,0.813151114596169,0.687016914977036,0.32281757977122216,0.4498714652956298,0.1799498746867168
Non_classical_Monocytes,343,0.0,100.0,166.0,86.0,0.4946401225114854,0.36447166921898927,0.0,0.16444444444444445,0.03243744207599629
Non_classical_Monocytes,343,0.01,585.3,686.3,351.74,0.6530972499253929,0.4118960005482292,0.0,0.31141654043417183,0.04562885242492596
Non_classical_Monocytes,343,0.02,728.88,992.8,516.0,0.6590670508644622,0.41871407917833825,0.0,0.3211319405784654,0.04693074502715772
Non_classical_Monocytes,343,0.05,2157.3,3026.6,1535.3,0.6760576254845272,0.42491236811286354,0.0,0.35552947153241854,0.04825590736445935
Non_classical_Monocytes,343,0.1,4933.800000000001,7097.8,3480.4,0.6899966051681806,0.43371028623145397,4.608085395699076e-05,0.3673684929170664,0.04955797142017383
Non_classical_Monocytes,343,0.25,12612.0,17484.5,7602.5,0.7111181792082126,0.4443474372853996,0.000260598554969274,0.3820202046819591,0.05223689708649373
Non_classical_Monocytes,343,0.5,16848.0,23323.0,9740.0,0.7303203040173725,0.45509188890424207,0.0006819288845591817,0.3926534492123846,0.05562857142857143
Non_classical_Monocytes,343,0.75,19763.5,26674.0,10874.5,0.7519520282134362,0.4709306258976179,0.0021275722894515733,0.4026468687436155,0.060413608954748815
